Date,Title,Employer,Category,Job Link
2024-12-03,Embedded Software Engineer for Automotive,Akkodis Sweden AB,Uncategorized,https://vakanser.se/jobb/embedded+software+engineer+for+automotive+3/
2024-12-03,Senior Backend Developer,Novacura AB,Non-Consultancy,https://vakanser.se/jobb/senior+backend+developer+183/
2024-12-02,"Java Backend Developer (Java, AWS Lambda, Linux)",Nätt Consulting AB,Uncategorized,https://vakanser.se/jobb/java+backend+developer+java+aws+lambda+linux/
2024-12-02,Developer CRM,Sopra Steria Sweden AB,Uncategorized,https://vakanser.se/jobb/developer+crm+3/
2024-12-02,ServiceNow Utvecklare,Sopra Steria Sweden AB,Uncategorized,https://vakanser.se/jobb/servicenow+utvecklare+17/
2024-12-02,Microsoft 365 utvecklare,Sopra Steria Sweden AB,Uncategorized,https://vakanser.se/jobb/microsoft+365+utvecklare+2/
2024-11-29,Systemutvecklare .NET,Sopra Steria Sweden AB,Uncategorized,https://vakanser.se/jobb/systemutvecklare+net+426/
2024-11-29,Fullstackutvecklare,Norion Bank AB,Uncategorized,https://vakanser.se/jobb/fullstackutvecklare+203/
2024-11-28,Java Developer,Techster Solutions AB,Uncategorized,https://vakanser.se/jobb/java+developer+546/
2024-11-28,Verification engineer - automotive,Logikfabriken AB,Non-Consultancy,https://vakanser.se/jobb/verification+engineer+-+automotive/
2024-11-27,Embedded Test Automation engineer,Click to Hire AB,Uncategorized,https://vakanser.se/jobb/embedded+test+automation+engineer+3/
2024-11-27,Junior DevOps utvecklare till fordonsindustrin!,Friday Väst AB,Consultancy,https://vakanser.se/jobb/junior+devops+utvecklare+till+fordonsindustrin/
2024-11-27,Test & Verification Engineer,Nexer Engineering Process AB,Uncategorized,https://vakanser.se/jobb/test+o+verification+engineer+38/
2024-11-26,Lead Logistics Developer,Vipas AB,Non-Consultancy,https://vakanser.se/jobb/lead+logistics+developer+2/
2024-11-26,Java Software Engineer,Techster Solutions AB,Uncategorized,https://vakanser.se/jobb/java+software+engineer+42/
